Date,Country,Sex,AgeGroup,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,Population
20200306,S92000003,Male,20 to 24,0,0,0,0,0,0,54,30.67031681,176066
20200306,S92000003,Male,25 to 44,1,6,0.853249601,0,0,0,287,40.81377259,703194
20200306,S92000003,Male,45 to 64,1,6,0.826015069,0,0,0,310,42.67744525,726379
20200306,S92000003,Male,65 to 74,1,1,0.361272981,0,0,0,90,32.51456833,276799
20200306,S92000003,Male,75 to 84,0,0,0,0,0,0,38,25.72190559,147734
20200306,S92000003,Male,85plus,0,0,0,0,0,0,10,22.27518767,44893
20200306,S92000003,Male,Total,3,13,0.488170686,0,0,0,1025,38.49038097,2663003
20200306,S92000003,Total,15 to 19,0,0,0,0,0,0,55,19.50645132,281958
20200306,S92000003,Total,20 to 24,1,2,0.575612452,0,0,0,138,39.71725916,347456
20200306,S92000003,Total,25 to 44,2,9,0.632168084,0,0,0,556,39.05393939,1423672
20200306,S92000003,Total,45 to 64,2,8,0.533203943,0,0,0,613,40.85675209,1500364
20200306,S92000003,Total,65 to 74,1,3,0.518761888,0,0,0,174,30.08818952,578300
20200306,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,67,19.7781307,338758
20200306,S92000003,Total,85plus,0,0,0,0,0,0,26,20.45842612,127087
20200306,S92000003,Total,Total,6,24,0.439294932,0,0,0,2006,36.7177347,5463300
20200307,S92000003,Female,15 to 19,0,0,0,0,0,0,28,20.32136792,137786
20200307,S92000003,Female,20 to 24,0,2,1.166929226,0,0,0,88,51.34488593,171390
20200307,S92000003,Female,25 to 44,0,3,0.41639023,0,0,0,287,39.83466532,720478
20200307,S92000003,Female,45 to 64,2,4,0.516805881,0,0,0,325,41.99047785,773985
20200307,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,93,30.84566884,301501
20200307,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,29,15.18133847,191024
20200307,S92000003,Female,85plus,0,0,0,0,0,0,18,21.89940872,82194
20200307,S92000003,Female,Total,2,13,0.464236472,0,0,0,1050,37.49602274,2800297
20200307,S92000003,Male,15 to 19,0,0,0,0,0,0,29,20.1148628,144172
20200307,S92000003,Male,20 to 24,0,0,0,0,0,0,56,31.80625447,176066
20200307,S92000003,Male,25 to 44,2,8,1.137666135,0,0,0,304,43.23131312,703194
20200307,S92000003,Male,45 to 64,1,7,0.963684247,0,0,0,330,45.43082881,726379
20200307,S92000003,Male,65 to 74,1,2,0.722545963,0,0,0,94,33.95966026,276799
20200307,S92000003,Male,75 to 84,0,0,0,0,0,0,43,29.10636685,147734
20200307,S92000003,Male,85plus,0,0,0,0,0,0,12,26.7302252,44893
20200307,S92000003,Male,Total,4,17,0.63837705,0,0,0,1089,40.89368281,2663003
